"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","36/445","271/21374",0.132841328413284,6.38056304158547,12.9980672477335,7.53772192990498e-19,3.01765977216708e-16,2.60855223909832e-16,"AT1G19530/AT3G43190/AT2G16060/AT3G23150/AT1G77120/AT4G27450/AT5G65207/AT4G24110/AT1G43800/AT5G15120/AT5G20830/AT4G33070/AT5G20250/AT3G10020/AT4G24230/AT1G03610/AT1G03220/AT5G39890/AT1G07150/AT1G55810/AT3G03670/AT3G27220/AT2G34390/AT3G03270/AT3G06435/AT3G10040/AT3G02550/AT5G20230/AT1G68840/AT1G72360/AT4G33560/AT3G01090/AT1G13260/AT1G33055/AT3G24715/AT5G41080",36
"GO:0071456","cellular response to hypoxia","34/445","241/21374",0.141078838174274,6.77622266772344,13.1495345543896,1.07608910321151e-18,3.01765977216708e-16,2.60855223909832e-16,"AT1G19530/AT3G43190/AT2G16060/AT3G23150/AT1G77120/AT4G27450/AT5G65207/AT4G24110/AT1G43800/AT5G15120/AT5G20830/AT4G33070/AT5G20250/AT3G10020/AT4G24230/AT1G03610/AT1G03220/AT5G39890/AT1G07150/AT1G55810/AT3G03670/AT3G27220/AT3G03270/AT3G06435/AT3G10040/AT3G02550/AT5G20230/AT1G68840/AT1G72360/AT4G33560/AT1G13260/AT1G33055/AT3G24715/AT5G41080",34
"GO:0036293","response to decreased oxygen levels","36/445","275/21374",0.130909090909091,6.28775485188968,12.8690127938455,1.22880267729491e-18,3.01765977216708e-16,2.60855223909832e-16,"AT1G19530/AT3G43190/AT2G16060/AT3G23150/AT1G77120/AT4G27450/AT5G65207/AT4G24110/AT1G43800/AT5G15120/AT5G20830/AT4G33070/AT5G20250/AT3G10020/AT4G24230/AT1G03610/AT1G03220/AT5G39890/AT1G07150/AT1G55810/AT3G03670/AT3G27220/AT2G34390/AT3G03270/AT3G06435/AT3G10040/AT3G02550/AT5G20230/AT1G68840/AT1G72360/AT4G33560/AT3G01090/AT1G13260/AT1G33055/AT3G24715/AT5G41080",36
"GO:0070482","response to oxygen levels","36/445","276/21374",0.130434782608696,6.26497313141182,12.8371485138867,1.38658029179921e-18,3.01765977216708e-16,2.60855223909832e-16,"AT1G19530/AT3G43190/AT2G16060/AT3G23150/AT1G77120/AT4G27450/AT5G65207/AT4G24110/AT1G43800/AT5G15120/AT5G20830/AT4G33070/AT5G20250/AT3G10020/AT4G24230/AT1G03610/AT1G03220/AT5G39890/AT1G07150/AT1G55810/AT3G03670/AT3G27220/AT2G34390/AT3G03270/AT3G06435/AT3G10040/AT3G02550/AT5G20230/AT1G68840/AT1G72360/AT4G33560/AT3G01090/AT1G13260/AT1G33055/AT3G24715/AT5G41080",36
"GO:0036294","cellular response to decreased oxygen levels","34/445","243/21374",0.139917695473251,6.72045128774217,13.0771140957071,1.4013899870745e-18,3.01765977216708e-16,2.60855223909832e-16,"AT1G19530/AT3G43190/AT2G16060/AT3G23150/AT1G77120/AT4G27450/AT5G65207/AT4G24110/AT1G43800/AT5G15120/AT5G20830/AT4G33070/AT5G20250/AT3G10020/AT4G24230/AT1G03610/AT1G03220/AT5G39890/AT1G07150/AT1G55810/AT3G03670/AT3G27220/AT3G03270/AT3G06435/AT3G10040/AT3G02550/AT5G20230/AT1G68840/AT1G72360/AT4G33560/AT1G13260/AT1G33055/AT3G24715/AT5G41080",34
"GO:0071453","cellular response to oxygen levels","34/445","243/21374",0.139917695473251,6.72045128774217,13.0771140957071,1.4013899870745e-18,3.01765977216708e-16,2.60855223909832e-16,"AT1G19530/AT3G43190/AT2G16060/AT3G23150/AT1G77120/AT4G27450/AT5G65207/AT4G24110/AT1G43800/AT5G15120/AT5G20830/AT4G33070/AT5G20250/AT3G10020/AT4G24230/AT1G03610/AT1G03220/AT5G39890/AT1G07150/AT1G55810/AT3G03670/AT3G27220/AT3G03270/AT3G06435/AT3G10040/AT3G02550/AT5G20230/AT1G68840/AT1G72360/AT4G33560/AT1G13260/AT1G33055/AT3G24715/AT5G41080",34
"GO:0009063","amino acid catabolic process","12/445","91/21374",0.131868131868132,6.33381898999877,7.43500142820129,4.08343674301745e-07,7.53685753139791e-05,6.51507726968648e-05,"AT5G07440/AT4G33070/AT1G03090/AT5G54080/AT3G45300/AT4G34030/AT1G55510/AT1G21400/AT1G06570/AT1G08630/AT2G22330/AT1G68890",12
"GO:0044282","small molecule catabolic process","19/445","234/21374",0.0811965811965812,3.89999039661961,6.50414936850588,5.06763987803962e-07,8.18423840303399e-05,7.07469198763163e-05,"AT1G77120/AT5G07440/AT3G52840/AT4G33070/AT1G03090/AT5G54080/AT3G45300/AT4G34030/AT5G56870/AT4G26260/AT1G55510/AT1G21400/AT1G06570/AT3G13750/AT1G08630/AT2G22330/AT1G36060/AT2G32150/AT2G19800",19
"GO:0009646","response to absence of light","9/445","57/21374",0.157894736842105,7.583914843288,7.2576680338571,2.51597776739251e-06,0.000361182586163458,0.000312216656281106,"AT4G24230/AT4G02380/AT3G06850/AT5G53980/AT1G21400/AT5G20230/AT4G15400/AT3G48390/AT4G20940",9
"GO:0006955","immune response","22/445","351/21374",0.0626780626780627,3.01051890265373,5.53799912890131,5.04008851848683e-06,0.000651179436588499,0.00056289830716995,"AT1G72840/AT5G18610/AT1G53440/AT1G53430/AT4G24180/AT1G32540/AT5G46330/AT1G56140/AT3G03300/AT1G04300/AT1G17600/AT2G22330/AT4G21400/AT1G29740/AT5G10530/AT3G43300/AT1G01040/AT1G61460/AT1G61390/AT1G61610/AT5G44870/AT1G61490",22
